,poll_id,pollster,end_date,candidate_id,candidate_name,pct
99,86581,Big Village,3/31/24,31097,Cornel West,1.9
100,86581,Big Village,3/31/24,19368,Joe Biden,41.9
101,86581,Big Village,3/31/24,16651,Donald Trump,39.7
102,86581,Big Village,3/31/24,31042,Robert F. Kennedy,7.8
103,86581,Big Village,3/31/24,31097,Cornel West,1.8
104,86577,RABA Research,3/31/24,19368,Joe Biden,36.0
105,86577,RABA Research,3/31/24,16651,Donald Trump,39.0
106,86604,Franklin and Marshall College,3/31/24,19368,Joe Biden,48.0
107,86604,Franklin and Marshall College,3/31/24,16651,Donald Trump,38.0
108,86604,Franklin and Marshall College,3/31/24,19368,Joe Biden,42.0
109,86604,Franklin and Marshall College,3/31/24,16651,Donald Trump,40.0
110,86604,Franklin and Marshall College,3/31/24,31116,Jill Stein,3.0
111,86604,Franklin and Marshall College,3/31/24,31042,Robert F. Kennedy,9.0
112,86593,Morning Consult,3/30/24,19368,Joe Biden,44.0
113,86593,Morning Consult,3/30/24,16651,Donald Trump,43.0
114,86640,High Point University,3/30/24,19368,Joe Biden,38.0
115,86640,High Point University,3/30/24,16651,Donald Trump,43.0
116,86640,High Point University,3/30/24,19368,Joe Biden,42.0
117,86640,High Point University,3/30/24,16651,Donald Trump,45.0
118,86590,Data for Progress,3/29/24,19368,Joe Biden,47.0
119,86590,Data for Progress,3/29/24,16651,Donald Trump,46.0
120,86590,Data for Progress,3/29/24,19368,Joe Biden,41.0
121,86590,Data for Progress,3/29/24,16651,Donald Trump,42.0
122,86590,Data for Progress,3/29/24,31042,Robert F. Kennedy,8.0
123,86590,Data for Progress,3/29/24,31097,Cornel West,1.0
124,86590,Data for Progress,3/29/24,31790,Chase Oliver,1.0
125,86590,Data for Progress,3/29/24,31116,Jill Stein,1.0
126,86594,Morning Consult,3/29/24,19368,Joe Biden,43.0
127,86594,Morning Consult,3/29/24,16651,Donald Trump,44.0
128,86576,Emerson,3/29/24,19368,Joe Biden,45.7
129,86576,Emerson,3/29/24,16651,Donald Trump,39.4
130,86576,Emerson,3/29/24,19368,Joe Biden,41.0
131,86576,Emerson,3/29/24,16651,Donald Trump,35.8
132,86576,Emerson,3/29/24,31042,Robert F. Kennedy,7.5
133,86576,Emerson,3/29/24,31097,Cornel West,1.2
134,86576,Emerson,3/29/24,31116,Jill Stein,0.8
135,86630,MassINC Polling Group,3/29/24,19368,Joe Biden,46.0
136,86630,MassINC Polling Group,3/29/24,16651,Donald Trump,28.0
137,86630,MassINC Polling Group,3/29/24,31042,Robert F. Kennedy,9.0
138,86630,MassINC Polling Group,3/29/24,31097,Cornel West,1.0
139,86598,Morning Consult,3/28/24,19368,Joe Biden,43.0
140,86598,Morning Consult,3/28/24,16651,Donald Trump,44.0
141,86589,Marist,3/28/24,19368,Joe Biden,50.0
142,86589,Marist,3/28/24,16651,Donald Trump,48.0
143,86589,Marist,3/28/24,19368,Joe Biden,43.0
144,86589,Marist,3/28/24,16651,Donald Trump,41.0
145,86589,Marist,3/28/24,31042,Robert F. Kennedy,11.0
146,86589,Marist,3/28/24,31097,Cornel West,1.0
147,86589,Marist,3/28/24,31116,Jill Stein,2.0
148,86603,Spry Strategies,3/28/24,19368,Joe Biden,43.7
149,86603,Spry Strategies,3/28/24,16651,Donald Trump,48.0
150,86603,Spry Strategies,3/28/24,19368,Joe Biden,39.8
151,86603,Spry Strategies,3/28/24,16651,Donald Trump,43.0
152,86603,Spry Strategies,3/28/24,31042,Robert F. Kennedy,8.8
153,86622,UpOne Insights/Benenson Strategy Group,3/28/24,19368,Joe Biden,44.0
154,86622,UpOne Insights/Benenson Strategy Group,3/28/24,16651,Donald Trump,46.0
155,86591,Marquette Law School,3/28/24,19368,Joe Biden,50.0
156,86591,Marquette Law School,3/28/24,16651,Donald Trump,50.0
157,86591,Marquette Law School,3/28/24,19368,Joe Biden,52.0
158,86591,Marquette Law School,3/28/24,16651,Donald Trump,48.0
159,86591,Marquette Law School,3/28/24,19368,Joe Biden,38.0
160,86591,Marquette Law School,3/28/24,16651,Donald Trump,41.0
161,86591,Marquette Law School,3/28/24,31042,Robert F. Kennedy,14.0
162,86591,Marquette Law School,3/28/24,31097,Cornel West,5.0
163,86591,Marquette Law School,3/28/24,31116,Jill Stein,2.0
164,86591,Marquette Law School,3/28/24,19368,Joe Biden,41.0
165,86591,Marquette Law School,3/28/24,16651,Donald Trump,41.0
166,86591,Marquette Law School,3/28/24,31042,Robert F. Kennedy,13.0
167,86591,Marquette Law School,3/28/24,31097,Cornel West,4.0
168,86591,Marquette Law School,3/28/24,31116,Jill Stein,2.0
169,86597,Morning Consult,3/27/24,19368,Joe Biden,43.0
170,86597,Morning Consult,3/27/24,16651,Donald Trump,44.0
171,86580,Clarity,3/27/24,19368,Joe Biden,46.0
172,86580,Clarity,3/27/24,16651,Donald Trump,50.0
173,86558,YouGov,3/26/24,19368,Joe Biden,43.0
174,86558,YouGov,3/26/24,16651,Donald Trump,44.0
175,86558,YouGov,3/26/24,31042,Robert F. Kennedy,3.0
176,86558,YouGov,3/26/24,31097,Cornel West,0.0
177,86558,YouGov,3/26/24,31116,Jill Stein,1.0
178,86595,Morning Consult,3/26/24,19368,Joe Biden,44.0
179,86595,Morning Consult,3/26/24,16651,Donald Trump,44.0
180,86607,McLaughlin,3/26/24,19368,Joe Biden,44.9
181,86607,McLaughlin,3/26/24,16651,Donald Trump,46.5
182,86607,McLaughlin,3/26/24,19368,Joe Biden,37.4
183,86607,McLaughlin,3/26/24,16651,Donald Trump,39.5
184,86607,McLaughlin,3/26/24,31042,Robert F. Kennedy,9.8
185,86607,McLaughlin,3/26/24,31097,Cornel West,1.5
186,86607,McLaughlin,3/26/24,31116,Jill Stein,1.7
187,86607,McLaughlin,3/26/24,31061,Lars Mapstead,0.8
188,86607,McLaughlin,3/26/24,19368,Joe Biden,48.3
189,86607,McLaughlin,3/26/24,16651,Donald Trump,45.4
190,86607,McLaughlin,3/26/24,19368,Joe Biden,38.9
191,86607,McLaughlin,3/26/24,16651,Donald Trump,42.2
192,86607,McLaughlin,3/26/24,31042,Robert F. Kennedy,8.9
193,86607,McLaughlin,3/26/24,31097,Cornel West,1.4
194,86607,McLaughlin,3/26/24,31116,Jill Stein,1.6
195,86607,McLaughlin,3/26/24,31061,Lars Mapstead,0.8
196,86624,Bullfinch,3/26/24,19368,Joe Biden,44.0
197,86624,Bullfinch,3/26/24,16651,Donald Trump,41.0
198,86624,Bullfinch,3/26/24,31042,Robert F. Kennedy,7.0
199,86562,HarrisX,3/25/24,19368,Joe Biden,50.0
200,86562,HarrisX,3/25/24,16651,Donald Trump,50.0
201,86562,HarrisX,3/25/24,19368,Joe Biden,40.0
202,86562,HarrisX,3/25/24,16651,Donald Trump,42.0
203,86562,HarrisX,3/25/24,31042,Robert F. Kennedy,14.0
204,86562,HarrisX,3/25/24,31116,Jill Stein,2.0
205,86562,HarrisX,3/25/24,31097,Cornel West,2.0
206,86565,Leger,3/25/24,19368,Joe Biden,43.0
207,86565,Leger,3/25/24,16651,Donald Trump,47.0
208,86565,Leger,3/25/24,19368,Joe Biden,37.0
209,86565,Leger,3/25/24,16651,Donald Trump,41.0
210,86596,Morning Consult,3/25/24,19368,Joe Biden,44.0
211,86596,Morning Consult,3/25/24,16651,Donald Trump,43.0
212,86560,Beacon/Shaw,3/25/24,19368,Joe Biden,38.0
213,86560,Beacon/Shaw,3/25/24,16651,Donald Trump,43.0
214,86560,Beacon/Shaw,3/25/24,31042,Robert F. Kennedy,12.0
215,86560,Beacon/Shaw,3/25/24,31097,Cornel West,2.0
216,86560,Beacon/Shaw,3/25/24,31116,Jill Stein,2.0
217,86560,Beacon/Shaw,3/25/24,19368,Joe Biden,45.0
218,86560,Beacon/Shaw,3/25/24,16651,Donald Trump,50.0
219,86560,Beacon/Shaw,3/25/24,16661,Kamala Harris,45.0
220,86560,Beacon/Shaw,3/25/24,16651,Donald Trump,51.0
221,86559,Quinnipiac,3/25/24,19368,Joe Biden,48.0
222,86559,Quinnipiac,3/25/24,16651,Donald Trump,45.0
223,86559,Quinnipiac,3/25/24,19368,Joe Biden,38.0
224,86559,Quinnipiac,3/25/24,16651,Donald Trump,39.0
225,86559,Quinnipiac,3/25/24,31042,Robert F. Kennedy,13.0
226,86559,Quinnipiac,3/25/24,31097,Cornel West,3.0
227,86559,Quinnipiac,3/25/24,31116,Jill Stein,4.0
228,86635,PPIC,3/25/24,19368,Joe Biden,54.0
229,86635,PPIC,3/25/24,16651,Donald Trump,31.0
230,86535,Morning Consult,3/24/24,19368,Joe Biden,44.0
231,86535,Morning Consult,3/24/24,16651,Donald Trump,43.0
232,86561,J.L. Partners,3/24/24,19368,Joe Biden,39.0
233,86561,J.L. Partners,3/24/24,16651,Donald Trump,43.0
234,86561,J.L. Partners,3/24/24,31042,Robert F. Kennedy,7.0
235,86561,J.L. Partners,3/24/24,31116,Jill Stein,1.0
236,86561,J.L. Partners,3/24/24,31097,Cornel West,2.0
237,86561,J.L. Partners,3/24/24,19368,Joe Biden,43.0
238,86561,J.L. Partners,3/24/24,16651,Donald Trump,46.0
239,86561,J.L. Partners,3/24/24,16660,Michelle Obama,44.0
240,86561,J.L. Partners,3/24/24,16651,Donald Trump,47.0
